SKU,Season,Category,Item,Color/Design,Fabric,Size,Quantity,Price,Total Value,Photo,Status,Etsy Link,Website Link,Notes,Titles GPT,Description,Key words
TOC-ONESIE-BLU-BRY-03months,Lifestyle,Baby Onesies,Baby Onesie,Blue Berry,100% Organic Cotton,0-3 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-BLU-BRY-36months,Lifestyle,Baby Onesies,Baby Onesie,Blue Berry,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-BLU-BRY-69months,Lifestyle,Baby Onesies,Baby Onesie,Blue Berry,100% Organic Cotton,6-9 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-CRL-36months,Lifestyle,Baby Onesies,Baby Onesie,Coral,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-CRL-36months,Lifestyle,Baby Onesies,Baby Onesie,Coral,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-DRK-GRY-36months,Lifestyle,Baby Onesies,Baby Onesie,Dark Grey,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-DRK-GRY-36months,Lifestyle,Baby Onesies,Baby Onesie,Dark Grey,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-DRK-GRY-36months,Lifestyle,Baby Onesies,Baby Onesie,Dark Grey,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-DRK-GRY-36months,Lifestyle,Baby Onesies,Baby Onesie,Dark Grey,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-DRK-SGE-03months,Lifestyle,Baby Onesies,Baby Onesie,Dark Sage,100% Organic Cotton,0-3 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-DRK-SGE-36months,Lifestyle,Baby Onesies,Baby Onesie,Dark Sage,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-DRK-SGE-36months,Lifestyle,Baby Onesies,Baby Onesie,Dark Sage,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-DRK-SGE-36months,Lifestyle,Baby Onesies,Baby Onesie,Dark Sage,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-DNM-36months,Lifestyle,Baby Onesies,Baby Onesie,Denim,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-GRN-69months,Lifestyle,Baby Onesies,Baby Onesie,Green,100% Organic Cotton,6-9 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-KING-03months,Lifestyle,Baby Onesies,Baby Onesie,Kingfisher,100% Organic Cotton,0-3 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-KING-03months,Lifestyle,Baby Onesies,Baby Onesie,Kingfisher,100% Organic Cotton,0-3 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-KING-69months,Lifestyle,Baby Onesies,Baby Onesie,Kingfisher,100% Organic Cotton,6-9 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-LGT-BLU-03months,Lifestyle,Baby Onesies,Baby Onesie,Light Blue,100% Organic Cotton,0-3 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-LGT-BLU-69months,Lifestyle,Baby Onesies,Baby Onesie,Light Blue,100% Organic Cotton,6-9 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-LGT-BLU-69months,Lifestyle,Baby Onesies,Baby Onesie,Light Blue,100% Organic Cotton,6-9 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-LOG-03months,Lifestyle,Baby Onesies,Baby Onesie,Logwood,100% Organic Cotton,0-3 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-LOG-03months,Lifestyle,Baby Onesies,Baby Onesie,Logwood,100% Organic Cotton,0-3 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-NEB-NAV-03months,Lifestyle,Baby Onesies,Baby Onesie,Nebula Navy,100% Organic Cotton,0-3 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-NEB-NAV-03months,Lifestyle,Baby Onesies,Baby Onesie,Nebula Navy,100% Organic Cotton,0-3 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-NEB-NAV-36months,Lifestyle,Baby Onesies,Baby Onesie,Nebula Navy,100% Organic Cotton,3-6 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-OLV-03months,Lifestyle,Baby Onesies,Baby Onesie,Olive,100% Organic Cotton,0-3 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-OLV-03months,Lifestyle,Baby Onesies,Baby Onesie,Olive,100% Organic Cotton,0-3 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-PCH-69months,Lifestyle,Baby Onesies,Baby Onesie,Peach,100% Organic Cotton,6-9 months,1,$18,$18,,Not Started,,,100% organic cotton,,,
TOC-ONESIE-PCH-Newborn,Lifestyle,Baby Onesies,Baby Onesie,Peach,100% Organic Cotton,Newborn,1,$18,$18,,Not Started,,,100% organic cotton,,,
